0h 6m 38s,11/3/2013 16:40,University Ave. NE & 12th Ave. NE,30096,11/3/2013 16:47,Hennepin & Central Avenue NE,30005,N00711
0h 9m 50s,11/3/2013 16:39,LaSalle Ave & 9th Street S,30167,11/3/2013 16:49,5th Ave N & 4th Street N,30056,N01154
0h 17m 9s,11/3/2013 16:36,100 Main Street SE,30000,11/3/2013 16:53,McNamara Center,30057,N01770
0h 9m 46s,11/3/2013 16:33,100 Main Street SE,30000,11/3/2013 16:43,Portland Ave. & Washington Ave.,30090,N00681
0h 3m 37s,11/3/2013 16:32,Franklin & 11th Ave,30033,11/3/2013 16:36,Franklin & Portland,30041,N00984
0h 3m 56s,11/3/2013 16:32,Franklin & 11th Ave,30033,11/3/2013 16:36,Franklin & Portland,30041,N00548
0h 39m 22s,11/3/2013 16:31,100 Main Street SE,30000,11/3/2013 17:11,South 2nd Street & 3rd Ave. S,30030,N00171
0h 20m 28s,11/3/2013 16:30,Midtown Exchange,30008,11/3/2013 16:51,26th Street & Hennepin,30044,N00694
0h 9m 13s,11/3/2013 16:30,Walker Art Center,30016,11/3/2013 16:39,11th Street & Hennepin,30004,N00962
0h 6m 12s,11/3/2013 16:28,MCAD,30018,11/3/2013 16:34,22nd Street & Lyndale,30017,N09997
0h 11m 10s,11/3/2013 16:28,Chicago Ave & Washington Ave S,30143,11/3/2013 16:39,11th Street & Marquette,30040,N00239
0h 14m 54s,11/3/2013 16:26,6th Street & Jackson Street,30118,11/3/2013 16:41,Upper Landing,30134,C00469
0h 15m 38s,11/3/2013 16:27,Lake Street & Lyndale,30013,11/3/2013 16:43,11th Street & Marquette,30040,N00920
0h 15m 22s,11/3/2013 16:26,6th Street & Jackson Street,30118,11/3/2013 16:41,Upper Landing,30134,N01023
0h 0m 3s,11/3/2013 16:23,Central Ave. NE & 22nd Ave NE,30112,11/3/2013 16:23,Central Ave. NE & 22nd Ave NE,30112,N00899
0h 4m 55s,11/3/2013 16:22,U of M St. Paul Student Center,30113,11/3/2013 16:26,Carter Ave & Como Ave,30108,N00010
0h 7m 12s,11/3/2013 16:21,2nd Ave N & N 6th Street,30053,11/3/2013 16:28,Portland Ave. & Washington Ave.,30090,N00268
0h 12m 13s,11/3/2013 16:21,Lake Street & West River Parkway,30147,11/3/2013 16:34,Merriam Park Library,30083,C00367
0h 13m 5s,11/3/2013 16:17,6th Ave. SE & University Ave.,30088,11/3/2013 16:31,100 Main Street SE,30000,N00171
0h 10m 33s,11/3/2013 16:17,Park Ave. S & 5th Street,30039,11/3/2013 16:28,100 Main Street SE,30000,N00681
0h 11m 24s,11/3/2013 16:17,Hague Ave & Dale Street,30103,11/3/2013 16:28,Minnesota Dept. of Transportation,30123,N00635
0h 11m 28s,11/3/2013 16:17,Hague Ave & Dale Street,30103,11/3/2013 16:28,Minnesota Dept. of Transportation,30123,N00645
0h 3m 33s,11/3/2013 16:15,Franklin & Portland,30041,11/3/2013 16:19,Franklin & 11th Ave,30033,N01862
0h 3m 36s,11/3/2013 16:15,Franklin & Portland,30041,11/3/2013 16:19,Franklin & 11th Ave,30033,N00548
0h 12m 46s,11/3/2013 16:14,4th Street & 13th Ave. SE,30009,11/3/2013 16:26,McNamara Center,30057,C00482
0h 13m 2s,11/3/2013 16:12,5th Street E & Minnesota Street N,30126,11/3/2013 16:25,6th Street & Jackson Street,30118,C00469
0h 13m 20s,11/3/2013 16:12,5th Street E & Minnesota Street N,30126,11/3/2013 16:25,6th Street & Jackson Street,30118,N01023
0h 9m 36s,11/3/2013 16:11,St. Catherine University,30102,11/3/2013 16:21,Merriam Park Library,30083,N00789
0h 31m 8s,11/3/2013 16:12,Minnehaha Park,30149,11/3/2013 16:43,Fort Snelling State Park,30159,N00558
0h 12m 57s,11/3/2013 16:09,Upper Landing,30134,11/3/2013 16:22,Union Depot,30119,N00893
0h 32m 27s,11/3/2013 16:10,Minnehaha Park,30149,11/3/2013 16:43,Fort Snelling State Park,30159,N00768
0h 12m 27s,11/3/2013 16:10,Upper Landing,30134,11/3/2013 16:22,Union Depot,30119,N00381
0h 3m 55s,11/3/2013 16:07,Landmark Plaza,30127,11/3/2013 16:11,5th Street E & Minnesota Street N,30126,C00469
0h 31m 18s,11/3/2013 16:08,Lake Nokomis,30156,11/3/2013 16:39,Lake Harriet Bandshell,30157,N01747
0h 4m 23s,11/3/2013 16:07,Landmark Plaza,30127,11/3/2013 16:12,5th Street E & Minnesota Street N,30126,N01023
0h 9m 53s,11/3/2013 16:05,Hennepin Ave. & 4th Street,30055,11/3/2013 16:15,Hennepin & Laurel Ave.,30010,N01882
0h 12m 26s,11/3/2013 16:04,Nicollet Mall and Grant Street,30052,11/3/2013 16:17,Park Ave. S & 5th Street,30039,N00681
0h 16m 11s,11/3/2013 16:02,Lake Street & Knox Ave S,30158,11/3/2013 16:18,Lake Harriet Bandshell,30157,N00081
0h 40m 28s,11/3/2013 16:00,Lake Calhoun Center,30089,11/3/2013 16:41,Lake Calhoun Center,30089,N01820
0h 40m 33s,11/3/2013 16:01,Lake Calhoun Center,30089,11/3/2013 16:41,Lake Calhoun Center,30089,N00147
0h 16m 49s,11/3/2013 15:58,Washington & 2nd Ave. N,30021,11/3/2013 16:15,Williamson Hall,30025,N00557
0h 20m 48s,11/3/2013 15:57,Washington Ave S & 9th Ave S,30046,11/3/2013 16:18,Lake Street & West River Parkway,30147,C00367
0h 11m 49s,11/3/2013 15:55,7th Street W & Grand Ave,30135,11/3/2013 16:06,Landmark Plaza,30127,C00469
0h 12m 49s,11/3/2013 15:54,7th Street W & Grand Ave,30135,11/3/2013 16:07,Landmark Plaza,30127,N01023
0h 19m 11s,11/3/2013 15:53,100 Main Street SE,30000,11/3/2013 16:12,13th Ave & West River Parkway,30154,N01087
0h 13m 53s,11/3/2013 15:53,11th Street & Hennepin,30004,11/3/2013 16:07,Nicollet Mall and Grant Street,30052,N01668
0h 48m 59s,11/3/2013 15:53,West 36th Street & Bryant Ave S,30095,11/3/2013 16:42,Lake Street & Knox Ave S,30158,C00334
0h 20m 31s,11/3/2013 15:52,100 Main Street SE,30000,11/3/2013 16:13,13th Ave & West River Parkway,30154,N00987
1h 7m 45s,11/3/2013 15:51,West 15th Street & Willow,30093,11/3/2013 16:59,LaSalle Ave & 9th Street S,30167,N00212
0h 8m 48s,11/3/2013 15:51,Lake Street & Lyndale,30013,11/3/2013 15:59,Lake Street & Humboldt,30043,N00686
1h 7m 38s,11/3/2013 15:51,West 15th Street & Willow,30093,11/3/2013 16:58,LaSalle Ave & 9th Street S,30167,N01130
0h 4m 12s,11/3/2013 15:49,Washington & 2nd Ave. N,30021,11/3/2013 15:53,2nd Ave N & N 6th Street,30053,C00426
0h 25m 45s,11/3/2013 15:45,Lake Harriet Bandshell,30157,11/3/2013 16:10,West 34th Street  & Hennepin Ave S,30073,N00481
0h 21m 11s,11/3/2013 15:44,Lake Street & Knox Ave S,30158,11/3/2013 16:05,Upton Ave S & Sheridan Ave S,30165,N00650
0h 34m 34s,11/3/2013 15:44,Portland Ave. & Washington Ave.,30090,11/3/2013 16:19,Lake Street & Humboldt,30043,N00946
